insertCollissions,searchCollissions
0,0
0,0
0,0
0,0
1,0
1,0
1,0
2,0
6,0
8,0
9,0
10,1
11,1
13,1
20,1
22,1
25,1
29,1
33,2
40,3
46,4
52,4
63,4
66,5
67,5
76,5
80,5
84,5
94,6
101,8
113,9
121,9
132,11
138,14
144,14
154,17
159,20
174,21
180,23
191,25
205,27
215,28
222,29
236,32
245,37
255,42
265,46
276,49
288,55
300,56
312,58
322,62
334,65
344,68
355,72
370,75
388,79
405,82
419,85
436,87
449,89
460,94
470,97
486,101
505,105
525,106
537,110
560,116
575,119
586,122
603,128
614,135
626,138
644,140
654,145
675,151
690,156
706,162
721,165
738,169
755,173
764,177
787,180
804,185
821,187
846,192
870,200
891,208
914,214
936,219
957,226
974,233
990,242
1001,248
1017,253
1036,259
1055,263
1074,272
1095,278
1123,286
1145,290
1172,296
1205,298
1232,303
1255,309
1272,315
1302,321
1325,331
1351,339
1382,346
1403,357
1422,366
1448,369
1470,377
1488,383
1519,390
1541,398
1568,408
1594,412
1616,419
1644,428
1662,438
1685,449
1712,460
1740,467
1762,475
1788,485
1818,491
1842,502
1876,507
1895,514
1927,523
1964,531
1983,537
2016,547
2041,558
2069,568
2100,575
2134,581
2158,591
2186,601
2223,610
2251,619
2284,623
2310,631
2342,637
2372,647
2401,654
2441,664
2469,674
2510,677
2543,687
2578,692
2617,702
2654,711
2680,719
2713,727
2758,739
2792,749
2826,757
2858,763
2887,780
2914,787
2953,796
2985,808
3019,815
3052,822
3085,832
3123,846
3166,856
3198,868
3228,874
3269,881
3310,890
3345,898
3385,905
3423,920
3462,929
3494,936
3530,945
3574,956
3604,968
3646,985
3681,995
3717,1005
3748,1013
3786,1026
3814,1034
3857,1043
3889,1057
3927,1064
3963,1077
4004,1085
4045,1094
4085,1101
4125,1111
4156,1127
4198,1136
4240,1149
4275,1160
4316,1168
4359,1174
4395,1181
4437,1189
4475,1201
4511,1211
4553,1222
4585,1237
4626,1241
4675,1249
4720,1261
4764,1273
4798,1283
4839,1297
4888,1314
4928,1329
4967,1335
5012,1348
5064,1358
5110,1367
5151,1378
5191,1392
5222,1408
5268,1416
5314,1427
5351,1441
5386,1452
5424,1468
5463,1481
5507,1494
5552,1507
5599,1519
5642,1533
5691,1546
5733,1560
5772,1572
5815,1587
5862,1602
5907,1615
5949,1625
5998,1642
6046,1655
6095,1669
6141,1682
6197,1694
6246,1702
6290,1717
6338,1721
6381,1730
6432,1741
6472,1754
6506,1761
6563,1777
6603,1791
6635,1811
6675,1813
6722,1827
6772,1839
6821,1853
6868,1867
6918,1879
6960,1897
7005,1912
7056,1922
7112,1934
7160,1955
7206,1969
7256,1980
7298,1987
7355,1998
7404,2015
7461,2037
7512,2051
7563,2057
7606,2068
7653,2085
7698,2095
7755,2111
7803,2129
7847,2144
7891,2160
7941,2173
7993,2184
8044,2202
8094,2214
8157,2229
8209,2241
8261,2251
8312,2264
8370,2276
8418,2296
8470,2313
8513,2327
8562,2340
8610,2358
8665,2371
8716,2382
8772,2401
8822,2412
8861,2427
8915,2443
8972,2458
9016,2468
9063,2482
9124,2491
9180,2507
9225,2517
9278,2541
9334,2552
9391,2569
9451,2583
9507,2592
9556,2608
9614,2618
9675,2634
9723,2649
9787,2666
9842,2686
9891,2705
9941,2717
9996,2740
10050,2760
10105,2773
10166,2786
10219,2807
10276,2821
10331,2843
10382,2863
10437,2878
10492,2891
10547,2910
10602,2921
10661,2941
10721,2956
10780,2973
10837,2985
10892,3006
10954,3022
11015,3037
11080,3048
11141,3061
11194,3071
11243,3088
11297,3107
11350,3121
11412,3138
11479,3149
11536,3166
11599,3186
11661,3198
11722,3216
11782,3240
11840,3253
11896,3270
11955,3294
12012,3318
12074,3336
12135,3348
12202,3363
12252,3376
12308,3399
12367,3417
12426,3430
12483,3451
12540,3473
12604,3487
12666,3506
12728,3527
12785,3549
12840,3567
12892,3582
12953,3598
13009,3615
13067,3628
13126,3647
13183,3663
13240,3686
13306,3713
13363,3731
13427,3746
13480,3762
13550,3788
13609,3798
13671,3815
13731,3830
13798,3854
13860,3876
13918,3898
13979,3914
14041,3938
14099,3958
14155,3981
14206,4000
14272,4017
14326,4044
14402,4062
14463,4080
14531,4099
14595,4121
14652,4136
