insertCollissions,searchCollissions
0,0
3,0
3,0
4,0
10,0
14,0
20,0
21,0
29,0
35,0
48,0
56,0
66,0
72,0
82,0
92,0
97,0
104,0
115,0
128,0
140,0
155,0
173,0
190,0
216,0
230,0
249,0
265,0
286,0
300,0
321,0
339,0
356,0
369,0
385,0
408,0
424,0
437,0
461,0
477,0
503,0
521,0
538,0
560,0
579,0
599,0
611,0
628,0
648,0
668,0
688,0
716,0
732,0
750,0
770,0
788,0
817,0
843,0
860,0
877,0
895,0
924,0
943,0
972,0
992,0
1013,0
1035,0
1055,0
1074,0
1089,0
1108,0
1129,0
1153,0
1174,0
1196,0
1210,0
1230,0
1245,0
1268,0
1293,0
1319,0
1342,0
1363,0
1387,0
1407,0
1426,0
1447,0
1467,0
1482,0
1502,0
1528,0
1551,0
1578,0
1599,0
1620,0
1633,0
1662,0
1681,0
1696,0
1719,0
1746,0
1771,0
1785,0
1809,0
1833,0
1860,0
1875,0
1892,0
1903,0
1922,0
1947,0
1976,0
2005,0
2029,0
2048,0
2067,0
2087,0
2102,0
2130,0
2148,0
2161,0
2182,0
2210,0
2231,0
2250,0
2274,0
2299,0
2322,0
2344,0
2366,0
2391,0
2415,0
2436,0
2456,0
2480,0
2499,0
2526,0
2545,0
2571,0
2594,0
2610,0
2628,0
2644,0
2661,0
2679,0
2696,0
2708,0
2725,0
2750,0
2765,0
2791,0
2814,0
2825,0
2848,0
2878,0
2898,0
2923,0
2944,0
2965,0
2986,0
3012,0
3034,0
3054,0
3075,0
3102,0
3130,0
3153,0
3185,0
3213,0
3240,0
3262,0
3285,0
3305,0
3340,0
3370,2
3405,2
3436,2
3467,2
3494,2
3524,3
3551,3
3583,4
3617,4
3648,5
3679,5
3707,5
3735,6
3763,9
3794,11
3836,12
3869,12
3911,14
3957,15
3992,17
4022,19
4064,20
4109,22
4151,25
4193,26
4237,30
4281,33
4323,37
4366,39
4406,43
4461,48
4511,51
4559,54
4602,57
4646,57
4696,60
4733,62
4786,67
4841,72
4889,79
4941,80
4983,81
5026,83
5076,87
5119,90
5176,96
5216,102
5263,107
5314,118
5369,126
5418,131
5468,133
5513,140
5564,150
5615,154
5668,160
5723,166
5776,169
5823,172
5883,179
5938,186
5986,191
6041,198
6092,204
6136,209
6181,216
6233,223
6287,223
6339,229
6389,239
6439,246
6491,260
6538,269
6587,276
6639,284
6693,294
6746,303
6794,309
6849,318
6894,326
6946,338
7002,341
7058,348
7109,353
7161,359
7217,373
7269,384
7319,396
7367,411
7416,419
7468,433
7517,446
7566,455
7609,463
7652,473
7707,488
7759,498
7812,512
7871,523
7930,533
7974,538
8024,552
8079,559
8135,570
8189,581
8241,589
8286,600
8345,614
8408,623
8456,634
8507,646
8555,659
8603,670
8655,687
8713,699
8765,707
8814,724
8867,732
8922,747
8980,766
9028,777
9078,792
9133,804
9180,816
9232,823
9277,840
9326,849
9377,862
9425,870
9471,884
9525,902
9579,918
9643,929
9692,942
9746,957
9799,977
9853,988
9906,1002
9956,1016
10014,1028
10060,1041
10111,1056
10162,1072
10213,1085
10259,1097
10309,1117
10363,1133
10411,1151
10476,1168
10529,1182
10576,1193
10630,1217
10675,1235
10731,1252
10779,1266
10834,1282
10881,1293
10929,1305
10987,1328
11044,1341
11108,1357
11160,1375
11222,1390
11277,1400
11334,1414
11386,1427
11440,1441
11488,1449
11536,1461
11580,1480
11624,1502
11674,1518
11729,1532
11782,1546
11841,1557
11886,1577
11936,1601
11993,1617
12042,1639
12095,1653
12147,1669
12196,1684
12246,1701
12296,1723
12340,1733
12386,1750
12437,1764
12487,1781
12535,1804
12592,1825
12639,1842
12689,1863
12745,1879
12792,1897
12847,1911
12902,1930
12956,1952
13015,1971
13079,1990
13135,2008
13196,2029
13251,2048
13299,2062
13354,2080
13408,2096
13465,2116
13525,2130
13584,2144
13638,2160
13697,2182
13756,2197
13811,2208
13871,2226
13930,2241
13979,2261
14041,2282
14093,2298
14161,2318
14213,2339
14272,2363
14330,2380
14389,2404
14456,2427
14525,2449
14591,2476
14659,2500
