insertCollissions,searchCollissions
0,100
0,200
0,300
0,400
1,500
1,600
1,700
2,800
6,900
8,1000
9,1100
10,1200
11,1300
13,1400
20,1500
22,1600
25,1700
29,1800
33,1900
40,2000
46,2100
52,2200
63,2300
66,2400
67,2500
76,2600
80,2700
84,2800
94,2900
102,3000
114,3100
122,3200
133,3300
139,3400
145,3500
155,3600
161,3700
177,3800
184,3900
196,4000
210,4100
220,4200
227,4300
242,4400
252,4500
266,4600
276,4700
289,4800
301,4900
314,5000
326,5100
336,5200
349,5300
359,5400
370,5500
387,5600
405,5700
425,5800
439,5900
459,6000
473,6100
485,6200
497,6300
513,6400
534,6500
554,6600
566,6700
590,6800
605,6900
618,7000
637,7100
648,7200
661,7300
681,7400
693,7500
714,7600
730,7700
748,7800
763,7900
781,8000
799,8100
811,8200
836,8300
856,8400
875,8500
907,8600
931,8700
954,8800
980,8900
1004,9000
1028,9100
1047,9200
1066,9300
1080,9400
1102,9500
1123,9600
1144,9700
1165,9800
1187,9900
1219,10000
1243,10100
1273,10200
1311,10300
1341,10400
1367,10500
1384,10600
1419,10700
1445,10800
1472,10900
1506,11000
1529,11100
1552,11200
1583,11300
1609,11400
1630,11500
1663,11600
1686,11700
1717,11800
1746,11900
1771,12000
1803,12100
1824,12200
1851,12300
1884,12400
1914,12500
1939,12600
1966,12700
2003,12800
2038,12900
2077,13000
2098,13100
2133,13200
2174,13300
2198,13400
2236,13500
2268,13600
2298,13700
2334,13800
2373,13900
2400,14000
2431,14100
2471,14200
2505,14300
2548,14400
2583,14500
2622,14600
2661,14700
2697,14800
2744,14900
2779,15000
2821,15100
2860,15200
2905,15300
2948,15400
2996,15500
3033,15600
3071,15700
3122,15800
3161,15900
3200,16000
3239,16100
3278,16200
3310,16300
3359,16400
3394,16500
3437,16600
3480,16700
3520,16800
3563,16900
3610,17000
3650,17100
3685,17200
3730,17300
3777,17400
3823,17500
3867,17600
3912,17700
3959,17800
3995,17900
4035,18000
4092,18100
4132,18200
4178,18300
4226,18400
4266,18500
4307,18600
4354,18700
4386,18800
4438,18900
4479,19000
4526,19100
4577,19200
4626,19300
4677,19400
4724,19500
4772,19600
4819,19700
4869,19800
4921,19900
4972,20000
5026,20100
5079,20200
5126,20300
5180,20400
5230,20500
5275,20600
5326,20700
5374,20800
5427,20900
5486,21000
5538,21100
5594,21200
5640,21300
5690,21400
5753,21500
5806,21600
5858,21700
5917,21800
5985,21900
6041,22000
6096,22100
6146,22200
6193,22300
6250,22400
6307,22500
6359,22600
6411,22700
6466,22800
6521,22900
6577,23000
6635,23100
6698,23200
6757,23300
6820,23400
6875,23500
6929,23600
6982,23700
7049,23800
7110,23900
7171,24000
7227,24100
7289,24200
7349,24300
7411,24400
7481,24500
7543,24600
7605,24700
7663,24800
7725,24900
7795,25000
7852,25100
7913,25200
7982,25300
8046,25400
8096,25500
8154,25600
8219,25700
8284,25800
8354,25900
8416,26000
8477,26100
8536,26200
8597,26300
8662,26400
8732,26500
8795,26600
8855,26700
8924,26800
8990,26900
9064,27000
9137,27100
9212,27200
9280,27300
9346,27400
9414,27500
9478,27600
9536,27700
9605,27800
9671,27900
9740,28000
9805,28100
9871,28200
9945,28300
10008,28400
10075,28500
10155,28600
10225,28700
10302,28800
10378,28900
10455,29000
10527,29100
10595,29200
10664,29300
10738,29400
10810,29500
10881,29600
10954,29700
11031,29800
11104,29900
11173,30000
11250,30100
11319,30200
11388,30300
11463,30400
11548,30500
11626,30600
11700,30700
11781,30800
11858,30900
11939,31000
12023,31100
12105,31200
12180,31300
12257,31400
12339,31500
12418,31600
12500,31700
12577,31800
12657,31900
12735,32000
12814,32100
12889,32200
12971,32300
13057,32400
13136,32500
13220,32600
13298,32700
13385,32800
13465,32900
13545,33000
13627,33100
13706,33200
13792,33300
13880,33400
13967,33500
14049,33600
14131,33700
14222,33800
14309,33900
14393,34000
14480,34100
14564,34200
14645,34300
14726,34400
14812,34500
14901,34600
14992,34700
15080,34800
15162,34900
15252,35000
15340,35100
15428,35200
15518,35300
15607,35400
15702,35500
15793,35600
15889,35700
15977,35800
16068,35900
16150,36000
16238,36100
16334,36200
16426,36300
16514,36400
16601,36500
16695,36600
16790,36700
16882,36800
16972,36900
17063,37000
17153,37100
17244,37200
17336,37300
17432,37400
17526,37500
17618,37600
17710,37700
17806,37800
17904,37900
18000,38000
18095,38100
18190,38200
18286,38300
18382,38400
18478,38500
18575,38600
18670,38700
18769,38800
18864,38900
18962,39000
19062,39100
19160,39200
19257,39300
19353,39400
19452,39500
19549,39600
19648,39700
19748,39800
19847,39900
19947,40000
