insertCollissions,searchCollissions
0,100
3,200
3,300
4,400
10,500
15,600
21,700
23,800
31,900
37,1000
51,1100
60,1200
71,1300
78,1400
90,1500
100,1600
106,1700
114,1800
125,1900
140,2000
153,2100
170,2200
189,2300
207,2400
235,2500
251,2600
273,2700
293,2800
315,2900
331,3000
354,3100
373,3200
392,3300
408,3400
427,3500
451,3600
470,3700
489,3800
515,3900
534,4000
561,4100
582,4200
601,4300
626,4400
655,4500
680,4600
693,4700
711,4800
732,4900
754,5000
780,5100
809,5200
829,5300
849,5400
871,5500
894,5600
927,5700
954,5800
974,5900
996,6000
1018,6100
1052,6200
1074,6300
1107,6400
1128,6500
1152,6600
1176,6700
1199,6800
1226,6900
1245,7000
1269,7100
1292,7200
1322,7300
1346,7400
1372,7500
1391,7600
1418,7700
1434,7800
1460,7900
1489,8000
1516,8100
1547,8200
1571,8300
1599,8400
1624,8500
1645,8600
1671,8700
1694,8800
1714,8900
1736,9000
1767,9100
1795,9200
1825,9300
1847,9400
1873,9500
1889,9600
1921,9700
1945,9800
1962,9900
1992,10000
2022,10100
2051,10200
2071,10300
2099,10400
2126,10500
2153,10600
2171,10700
2190,10800
2206,10900
2230,11000
2259,11100
2292,11200
2328,11300
2353,11400
2372,11500
2394,11600
2417,11700
2439,11800
2470,11900
2489,12000
2507,12100
2532,12200
2562,12300
2585,12400
2607,12500
2633,12600
2662,12700
2691,12800
2718,12900
2743,13000
2772,13100
2799,13200
2825,13300
2848,13400
2879,13500
2901,13600
2929,13700
2952,13800
2980,13900
3005,14000
3026,14100
3046,14200
3064,14300
3086,14400
3109,14500
3127,14600
3141,14700
3160,14800
3187,14900
3208,15000
3236,15100
3265,15200
3280,15300
3304,15400
3335,15500
3360,15600
3387,15700
3411,15800
3438,15900
3458,16000
3490,16100
3518,16200
3541,16300
3563,16400
3590,16500
3622,16600
3650,16700
3689,16800
3717,16900
3743,17000
3766,17100
3795,17200
3819,17300
3855,17400
3889,17500
3927,17600
3966,17700
4003,17800
4038,17900
4077,18000
4108,18100
4143,18200
4182,18300
4222,18400
4262,18500
4300,18600
4341,18700
4379,18800
4414,18900
4457,19000
4507,19100
4549,19200
4602,19300
4649,19400
4690,19500
4739,19600
4790,19700
4848,19800
4899,19900
4952,20000
5002,20100
5047,20200
5105,20300
5154,20400
5210,20500
5270,20600
5333,20700
5388,20800
5449,20900
5507,21000
5569,21100
5636,21200
5694,21300
5754,21400
5821,21500
5879,21600
5951,21700
6018,21800
6086,21900
6153,22000
6223,22100
6297,22200
6359,22300
6423,22400
6495,22500
6560,22600
6626,22700
6701,22800
6778,22900
6852,23000
6932,23100
7007,23200
7078,23300
7149,23400
7227,23500
7293,23600
7373,23700
7444,23800
7520,23900
7599,24000
7669,24100
7753,24200
7831,24300
7907,24400
7980,24500
8056,24600
8130,24700
8198,24800
8271,24900
8356,25000
8429,25100
8505,25200
8574,25300
8648,25400
8714,25500
8788,25600
8862,25700
8944,25800
9015,25900
9093,26000
9166,26100
9238,26200
9312,26300
9389,26400
9463,26500
9534,26600
9610,26700
9682,26800
9754,26900
9827,27000
9901,27100
9979,27200
10058,27300
10135,27400
10215,27500
10289,27600
10364,27700
10435,27800
10511,27900
10589,28000
10662,28100
10742,28200
10820,28300
10891,28400
10964,28500
11040,28600
11112,28700
11189,28800
11250,28900
11319,29000
11397,29100
11467,29200
11541,29300
11617,29400
11689,29500
11761,29600
11839,29700
11909,29800
11984,29900
12056,30000
12133,30100
12211,30200
12296,30300
12372,30400
12441,30500
12521,30600
12597,30700
12660,30800
12738,30900
12805,31000
12880,31100
12952,31200
13024,31300
13100,31400
13170,31500
13247,31600
13325,31700
13402,31800
13477,31900
13552,32000
13625,32100
13700,32200
13776,32300
13845,32400
13921,32500
14001,32600
14073,32700
14150,32800
14227,32900
14304,33000
14383,33100
14451,33200
14529,33300
14605,33400
14684,33500
14764,33600
14841,33700
14922,33800
15005,33900
15080,34000
15155,34100
15229,34200
15305,34300
15376,34400
15451,34500
15525,34600
15606,34700
15688,34800
15760,34900
15825,35000
15905,35100
15982,35200
16058,35300
16137,35400
16212,35500
16286,35600
16365,35700
16442,35800
16519,35900
16593,36000
16663,36100
16738,36200
16821,36300
16904,36400
16987,36500
17066,36600
17144,36700
17222,36800
17306,36900
17390,37000
17468,37100
17552,37200
17634,37300
17723,37400
17804,37500
17880,37600
17968,37700
18056,37800
18139,37900
18224,38000
18308,38100
18392,38200
18479,38300
18569,38400
18662,38500
18751,38600
18840,38700
18936,38800
19023,38900
19116,39000
19210,39100
19302,39200
19395,39300
19489,39400
19587,39500
19681,39600
19780,39700
19879,39800
19979,39900
20079,40000
