insertCollissions,searchCollissions
0,0
0,0
0,0
0,0
2,0
3,1
3,1
5,1
6,1
7,1
11,1
11,3
14,3
17,3
27,4
31,5
32,6
34,8
39,9
46,14
53,14
57,15
68,17
69,20
71,21
77,23
83,25
87,26
97,27
108,29
118,31
128,33
144,36
150,41
160,44
172,45
182,49
198,54
206,56
213,58
228,61
241,64
249,65
255,67
262,68
273,68
283,69
292,75
299,76
313,79
326,81
335,85
346,86
355,90
365,92
382,96
399,100
412,103
427,104
443,111
457,115
471,123
484,128
491,133
510,138
530,141
544,145
565,146
579,148
590,152
610,155
626,161
645,163
662,172
681,176
706,178
731,181
751,191
766,195
784,195
795,199
810,201
828,205
848,210
870,216
888,225
915,231
932,235
951,238
973,240
1002,245
1022,251
1040,255
1056,259
1079,263
1098,267
1116,270
1140,277
1165,282
1195,287
1226,295
1252,303
1276,312
1303,319
1335,326
1352,328
1387,339
1419,352
1447,355
1477,363
1505,370
1532,378
1565,385
1591,389
1615,394
1644,401
1671,406
1702,410
1737,418
1762,426
1792,434
1821,441
1860,447
1882,453
1913,459
1938,463
1965,472
2000,481
2030,497
2060,505
2089,520
2129,528
2164,535
2197,547
2225,556
2260,564
2291,570
2332,580
2370,591
2401,605
2428,620
2472,630
2507,641
2553,652
2591,659
2631,670
2671,681
2704,688
2741,701
2776,712
2812,722
2847,741
2883,753
2927,765
2969,781
3003,795
3050,804
3087,821
3129,831
3168,840
3203,848
3242,860
3272,874
3306,884
3348,892
3390,907
3428,918
3474,928
3515,941
3563,952
3605,967
3633,977
3666,987
3713,999
3759,1019
3803,1027
3844,1040
3888,1054
3931,1066
3974,1081
4026,1093
4065,1110
4114,1121
4163,1133
4207,1149
4248,1161
4291,1175
4336,1185
4381,1194
4423,1204
4471,1217
4513,1229
4564,1251
4615,1269
4657,1293
4706,1302
4762,1322
4809,1339
4869,1352
4919,1366
4972,1379
5018,1390
5068,1402
5126,1413
5173,1430
5226,1442
5283,1455
5334,1469
5386,1486
5441,1507
5492,1524
5547,1543
5597,1555
5655,1571
5712,1583
5762,1602
5823,1625
5878,1643
5935,1667
5995,1679
6053,1696
6110,1710
6164,1727
6216,1746
6268,1761
6325,1777
6372,1793
6436,1812
6487,1829
6548,1850
6611,1861
6676,1875
6728,1890
6792,1907
6847,1925
6901,1939
6965,1960
7024,1981
7086,1993
7147,2015
7211,2032
7275,2044
7336,2060
7399,2076
7465,2098
7530,2120
7599,2144
7667,2165
7729,2182
7792,2197
7862,2214
7922,2235
7992,2250
8052,2275
8106,2296
8170,2319
8232,2340
8296,2366
8371,2382
8421,2404
8484,2421
8549,2445
8612,2466
8676,2491
8742,2521
8806,2538
8878,2554
8946,2572
9014,2592
9080,2616
9152,2638
9223,2656
9291,2679
9367,2701
9434,2721
9497,2741
9560,2761
9627,2791
9700,2804
9772,2830
9836,2856
9906,2874
9979,2901
10047,2918
10123,2941
10196,2959
10267,2978
10343,3002
10411,3024
10480,3044
10549,3068
10628,3089
10699,3120
10771,3139
10839,3158
10919,3176
10998,3199
11075,3226
11145,3257
11217,3279
11295,3304
11372,3321
11446,3343
11520,3369
11605,3396
11686,3429
11761,3455
11838,3480
11912,3511
11989,3534
12067,3558
12141,3581
12215,3604
12295,3629
12373,3653
12453,3673
12532,3697
12608,3724
12689,3752
12771,3785
12847,3817
12925,3839
13014,3871
13096,3906
13177,3930
13255,3952
13341,3979
13424,4003
13509,4028
13591,4050
13673,4072
13753,4097
13834,4130
13919,4163
14009,4199
14094,4225
14180,4259
14264,4286
14350,4309
14440,4333
14527,4358
14612,4389
14695,4417
14783,4447
14874,4465
14965,4498
15049,4523
15136,4547
15217,4583
15302,4609
15385,4630
15474,4659
15561,4683
15647,4718
15736,4746
15826,4772
15915,4802
16005,4831
16089,4852
16176,4884
16268,4913
16359,4945
16449,4970
16538,4988
16626,5020
16717,5050
16808,5080
16901,5109
16993,5137
17084,5174
17178,5198
17271,5228
17362,5254
17455,5287
17549,5315
17646,5354
17739,5385
17835,5421
17927,5446
18024,5480
18115,5513
18211,5542
18308,5574
18406,5609
18503,5648
18601,5685
18696,5720
18790,5750
18885,5786
18981,5828
19075,5852
19173,5880
19270,5911
19370,5940
19467,5971
19565,6003
19663,6034
19762,6062
19862,6092
19962,6131
