insertCollissions,searchCollissions
0,0
3,0
3,0
4,0
10,0
15,0
21,0
23,1
31,1
37,1
51,1
60,2
71,2
78,2
89,2
100,2
106,2
114,4
125,5
139,5
152,6
168,6
187,8
205,8
232,9
249,9
271,9
292,9
314,11
329,15
352,15
372,15
389,17
405,17
423,18
448,19
465,20
483,21
510,23
530,23
558,24
579,26
598,29
624,30
651,33
676,35
690,37
709,37
730,43
753,45
777,46
808,51
830,52
851,55
873,55
895,58
927,59
953,62
976,63
998,63
1020,65
1056,66
1080,70
1113,73
1135,79
1160,80
1183,83
1206,88
1232,91
1250,92
1274,93
1300,93
1330,96
1354,99
1380,103
1399,107
1425,108
1441,109
1467,111
1495,112
1523,114
1554,118
1578,120
1607,124
1630,127
1653,128
1679,132
1701,136
1722,139
1745,141
1775,144
1801,148
1833,153
1857,157
1883,161
1898,163
1929,163
1952,163
1969,166
1999,169
2030,170
2059,176
2079,181
2106,184
2133,187
2162,188
2182,191
2201,194
2216,196
2239,201
2268,206
2302,208
2337,210
2362,213
2384,217
2406,221
2429,222
2451,225
2484,231
2504,234
2523,237
2547,238
2579,239
2604,242
2625,244
2651,248
2680,250
2708,250
2733,252
2757,256
2787,260
2813,261
2839,265
2863,267
2895,270
2916,276
2947,281
2971,288
2998,290
3025,292
3046,296
3068,299
3087,302
3116,304
3140,310
3162,314
3178,318
3197,320
3224,323
3243,330
3271,336
3299,342
3315,344
3341,345
3373,350
3399,354
3425,358
3447,362
3472,367
3493,372
3526,379
3552,381
3575,385
3598,392
3627,397
3658,398
3688,401
3727,406
3755,409
3781,416
3804,422
3832,423
3856,427
3893,430
3927,434
3964,438
4002,441
4038,445
4071,449
4114,457
4150,462
4187,465
4225,466
4262,468
4300,470
4340,476
4378,480
4414,483
4452,488
4496,494
4543,500
4584,506
4637,509
4683,514
4724,521
4774,526
4823,529
4882,532
4933,542
4985,548
5038,554
5086,563
5141,572
5191,580
5246,589
5310,594
5371,603
5430,607
5487,617
5545,621
5606,629
5673,639
5731,645
5787,655
5850,663
5909,673
5980,686
6047,694
6121,709
6189,718
6261,729
6333,740
6398,747
6462,758
6538,770
6601,783
6668,789
6744,801
6818,810
6888,822
6964,839
7033,852
7103,863
7170,877
7246,888
7317,896
7397,910
7463,923
7538,936
7620,951
7693,967
7778,980
7853,996
7927,1015
8001,1030
8073,1050
8154,1069
8228,1086
8307,1108
8385,1127
8457,1138
8535,1148
8607,1166
8684,1181
8750,1198
8830,1214
8901,1228
8989,1246
9058,1262
9134,1277
9207,1293
9279,1310
9354,1328
9432,1344
9513,1363
9586,1383
9661,1405
9733,1424
9803,1444
9885,1456
9958,1473
10033,1492
10116,1518
10192,1536
10272,1563
10351,1591
10426,1614
10498,1631
10569,1651
10644,1669
10720,1694
10798,1723
10877,1744
10947,1765
11022,1788
11094,1808
11171,1830
11250,1859
11320,1885
11388,1906
11463,1931
11533,1958
11608,1979
11688,2005
11764,2022
11838,2050
11916,2071
11986,2098
12063,2121
12137,2146
12208,2175
12279,2212
12361,2241
12436,2268
12508,2294
12591,2321
12670,2352
12742,2379
12815,2404
12882,2427
12962,2448
13036,2468
13111,2499
13191,2532
13267,2555
13341,2583
13417,2606
13495,2627
13572,2657
13646,2682
13719,2707
13793,2733
13875,2759
13947,2790
14024,2823
14105,2850
14178,2885
14255,2913
14333,2942
14410,2976
14493,3002
14565,3030
14647,3056
14717,3084
14797,3114
14874,3146
14948,3177
15031,3213
15110,3242
15190,3269
15272,3305
15348,3338
15429,3370
15502,3402
15580,3436
15654,3464
15732,3492
15812,3520
15889,3553
15952,3585
16034,3619
16113,3648
16188,3690
16262,3719
16337,3745
16410,3778
16493,3808
16574,3847
16653,3883
16722,3917
16794,3950
16868,3977
16956,4005
17039,4024
17121,4058
17201,4096
17275,4129
17350,4161
17432,4189
17515,4225
17596,4260
17678,4288
17761,4323
17847,4358
17928,4390
18005,4416
18094,4453
18179,4483
18261,4517
18347,4550
18436,4579
18523,4615
18610,4659
18702,4692
18794,4725
18884,4763
18976,4803
19072,4837
19160,4878
19254,4916
19347,4959
19442,5003
19536,5038
19634,5068
19730,5099
19829,5130
19927,5165
20022,5207
20117,5247
20217,5285
